places,breakfast,,,,,,
places,fast_food, fast food,,,,,
places,food_to_go,take away,carry out, to go food, food to go,,
places,lunch,,,,,,
places,chinese,chinese restaurant,,,,,
places,coffee_shop,coffee place,coffee shop,dunkin,dunking,starbucks,
places,dinner,supper,,,,,
places,italian_restaurant,italian cuisine,italian food,italian place,italian restaurant,,
places,japanese,japanese food,japanese restaurant, sushi,,,
places,pizza,pizza restaurant, pizza pie,,,,
places,sitdown,sit down,eat in, eat-in,,,
hotel_amenity,gym,bike,elliptical,fitness center,lift weights,weights,
hotel_amenity,hotel restaurant,food place,hotel lounge,hotel restaurant,lounge,your restaurant,
hotel_amenity,pool,lifeguard,swimming,swimming pool,,,
hotel_amenity,sauna,,,,,,
transportation,shuttle,,,,,,
transportation,taxi,cab,,,,,
guestroom,alarm_clock,alarm,clock,radio,radio clock, alarm clock,
guestroom,heat_ac,ac,cooler,heater,room temperature,temperature, heat
guestroom,towels,towel,wash cloth, linens, linen,,
